epoch,train_loss,val_loss
1,218.6894324562475,141.2477164062583
2,147.78773013362255,120.57115149992495
3,119.75281170258897,96.2703116117631
4,106.5849748980535,99.24247832494461
5,97.25239694025142,80.11454028428228
6,90.29000336937797,72.36190300934658
7,83.41080763597037,67.39176046455121
8,81.13624998898412,71.34750254662497
9,77.06417358542203,64.66766118760094
10,73.90632003443997,59.058771760558564
11,72.12710205008531,57.82272838759852
12,68.30147260862255,55.24889568859361
13,66.74691748652702,52.10283351147187
14,65.47597799067357,55.309160052899074
15,62.060765672675075,52.90441129257062
16,59.57819299963715,52.04155253488488
17,56.657159646251976,49.33251756747861
18,55.620349487420064,50.482445113393815
19,54.31796864072249,47.95479410840151
20,51.387354243172595,49.08604687194928
